participant_id,agreeable,allowance_level,extraversion,group_experiment,honesty_humility,neuroticism,openness,religious_affiliation,religious_service,study_program,twt_sospeso
803,3.65,5.0,4.1,HighSub,3.75,2.0,4.1,0,0,FIN,0.0
805,3.06666666666667,5.0,2.8,HighSub,3.3125,2.9,3.3,0,2,DES-ESS,0.0
806,3.15,2.0,4.2,HighSub,2.75,2.1,4.3,0,1,AFC,0.0
807,3.36666666666667,3.0,3.0,MidSub,2.8125,2.9,3.9,0,0,AFC,3.0
808,3.31666666666667,1.0,4.1,HighSub,3.5625,2.3,3.5,0,2,DES-ESS,5.0
809,3.46666666666667,2.0,4.1,HighSub,2.9375,2.2,3.4,0,0,GIO,8.0
810,3.01666666666667,5.0,1.8,HighSub,3.0,2.0,3.4,0,0,EMIT,0.0
811,2.66666666666667,2.0,4.3,HighSub,2.0,2.9,4.6,0,0,MM,0.0
812,3.71666666666667,3.0,3.6,MidSub,3.8125,2.3,4.0,0,1,DSBA,2.0
813,3.25,5.0,3.7,HighSub,3.5,3.0,4.1,0,0,CLEAM,0.0
814,3.15,3.0,3.0,NoSub,3.0,3.2,3.4,0,0,CLEAM,0.0
815,3.66666666666667,1.0,4.3,HighSub,4.5625,2.2,4.5,0,2,M,0.0
816,3.31666666666667,3.0,4.4,MidSub,3.75,4.1,4.6,1,3,CLMG,1.0
817,4.05,1.0,3.4,NoSub,4.125,2.6,4.8,0,1,GIO,0.0
818,3.36666666666667,1.0,4.0,MidSub,4.125,2.3,4.9,0,0,AFC,0.0
819,3.46666666666667,2.0,4.1,MidSub,2.9375,2.7,4.0,0,3,GIO,4.0
821,3.63333333333333,2.0,3.4,NoSub,3.875,2.3,4.5,0,0,CLEAM,0.0
824,3.9,5.0,3.9,MidSub,3.8125,1.3,4.3,0,0,CLEACC,0.0
828,3.66666666666667,4.0,4.4,HighSub,3.4375,3.0,4.3,0,1,BIEM,0.0
829,3.23333333333333,2.0,3.2,NoSub,3.875,3.5,4.1,0,0,BIEM,5.0
830,3.91666666666667,4.0,3.7,HighSub,3.6875,3.3,4.3,0,0,CLEAM,44.0
831,2.85,1.0,2.5,NoSub,1.875,2.4,3.9,0,0,BIEM,0.0
832,3.91666666666667,4.0,3.1,MidSub,3.1875,3.6,4.0,0,0,CLEACC,0.0
833,2.7,2.0,3.3,NoSub,3.375,3.1,3.1,0,1,CLEF,0.0
834,2.78333333333333,1.0,2.7,HighSub,1.75,2.3,4.1,0,0,CLEAM,0.0
835,3.56666666666667,2.0,3.6,MidSub,3.625,3.5,4.0,0,0,CLEAM,0.0
836,4.21666666666667,3.0,3.8,NoSub,3.75,2.2,4.3,0,1,CLEAM,0.0
837,3.56666666666667,3.0,3.9,MidSub,4.25,1.8,4.2,0,0,BIEM,0.0
838,3.51666666666667,4.0,1.4,NoSub,4.4375,4.3,4.3,0,0,BIEM,2.0
839,2.98333333333333,2.0,3.3,MidSub,2.0,3.1,2.8,0,1,BIEF,0.0
840,3.3,4.0,3.7,HighSub,3.25,2.4,3.8,0,1,CLEF,0.0
841,3.53333333333333,5.0,2.0,HighSub,3.4375,3.8,4.0,1,0,CLEAM,0.0
842,3.4,3.0,3.1,MidSub,3.75,2.2,3.8,0,0,BIEM,0.0
843,3.75,4.0,2.8,MidSub,3.875,2.0,4.2,0,1,BIEM,0.0
844,3.65,4.0,3.5,NoSub,3.25,2.6,4.8,0,2,CLEAM,0.0
845,3.0,4.0,3.4,NoSub,2.9375,3.0,3.0,0,1,BIEF,0.0
846,4.21666666666667,3.0,2.3,MidSub,3.8125,2.2,4.8,0,0,BIEM,0.0
847,3.65,4.0,4.0,MidSub,3.1875,2.5,4.7,0,0,BEMACS,32.0
848,3.11666666666667,1.0,4.0,NoSub,2.6875,2.8,3.6,0,0,AFC,0.0
849,2.86666666666667,2.0,3.9,NoSub,2.625,3.0,4.0,0,2,BIEM,0.0
850,4.13333333333333,5.0,2.5,MidSub,3.5,2.6,4.5,0,2,BIG,0.0
851,3.11666666666667,4.0,4.1,NoSub,2.9375,1.2,4.6,0,1,BESS-CLES,0.0
852,3.2,2.0,4.5,NoSub,2.625,1.6,4.5,0,0,CLMG,4.0
853,3.55,1.0,2.9,NoSub,2.9375,2.0,4.1,0,1,BAI,0.0
854,4.05,2.0,3.5,MidSub,4.125,2.4,3.9,0,1,BIEF,0.0
855,3.16666666666667,2.0,4.3,MidSub,3.375,1.7,3.4,1,0,BIEM,0.0
856,3.66666666666667,1.0,4.2,MidSub,4.125,2.0,4.7,0,2,BEMACS,0.0
857,4.0,2.0,4.8,HighSub,4.4375,3.7,4.2,0,0,CLEACC,0.0
858,3.61666666666667,1.0,3.5,NoSub,2.9375,2.7,2.9,0,2,BIEM,0.0
859,4.01666666666667,4.0,4.2,MidSub,3.3125,2.0,4.4,0,2,CLEF,0.0
861,3.56666666666667,2.0,4.1,HighSub,4.125,2.5,4.1,0,0,BEMACS,0.0
862,3.36666666666667,5.0,3.9,MidSub,3.25,2.6,4.3,0,3,CLEAM,0.0
863,3.33333333333333,5.0,3.2,NoSub,2.75,3.2,4.2,0,0,CLEAM,0.0
864,2.96666666666667,2.0,2.6,HighSub,2.4375,2.2,3.6,0,0,BIEM,0.0
865,3.68333333333333,3.0,4.0,MidSub,4.0625,2.9,3.4,0,3,BIEM,0.0
867,3.88333333333333,2.0,4.0,NoSub,3.25,2.0,4.2,0,0,BIG,0.0
868,4.33333333333333,4.0,4.1,NoSub,3.5,2.0,4.6,0,0,BIEM,0.0
870,3.58333333333333,2.0,3.1,MidSub,3.125,2.8,3.9,0,2,BIEM,0.0
871,3.28333333333333,5.0,3.7,HighSub,3.0,3.0,4.4,0,2,BIEF,2.0
872,2.98333333333333,1.0,4.1,HighSub,2.8125,1.9,4.3,0,1,BESS-CLES,0.0
873,3.81666666666667,4.0,2.7,HighSub,4.4375,3.3,4.1,0,0,BIEF,3.0
878,2.95,5.0,3.9,HighSub,2.875,2.4,4.0,0,2,CLEAM,5.0
879,4.18333333333333,5.0,2.8,HighSub,3.75,2.4,3.7,0,0,DSBA,0.0
880,4.01666666666667,2.0,2.2,NoSub,4.1875,1.8,4.1,0,1,CLEAM,4.0
881,3.48333333333333,2.0,2.6,HighSub,3.4375,2.7,4.1,0,4,BIEM,0.0
882,3.85,1.0,1.6,NoSub,3.5,4.4,3.7,0,0,BIEF,0.0
884,4.05,3.0,2.5,MidSub,3.625,3.3,3.9,0,2,CLEACC,1.0
885,3.71666666666667,3.0,3.3,HighSub,3.375,2.7,4.0,0,2,CLEAM,7.0
886,3.63333333333333,3.0,2.6,MidSub,3.375,3.6,4.2,0,1,CLEACC,5.0
887,4.11666666666667,2.0,2.4,NoSub,4.625,3.3,3.6,1,4,BIEM,20.0
888,3.65,3.0,3.5,HighSub,3.375,3.1,4.6,0,1,BIEF,6.0
889,4.01666666666667,3.0,3.0,NoSub,4.3125,4.3,4.5,0,0,BIG,4.0
890,3.96666666666667,3.0,3.5,NoSub,2.9375,2.8,4.4,0,1,BIG,0.0
892,3.75,4.0,4.2,HighSub,3.875,2.2,3.4,0,1,BIEM,0.0
893,3.53333333333333,2.0,3.9,NoSub,3.6875,2.8,3.9,0,2,BESS-CLES,0.0
894,3.91666666666667,2.0,3.6,NoSub,3.9375,2.6,3.7,1,1,BIG,0.0
895,2.93333333333333,5.0,3.7,MidSub,2.75,3.3,2.6,0,0,BIEM,0.0
896,3.25,2.0,3.7,MidSub,3.3125,3.5,4.8,0,0,BIEM,3.0
897,4.13333333333333,3.0,3.6,HighSub,4.4375,2.4,4.0,0,2,BIEM,0.0
898,3.86666666666667,1.0,4.2,HighSub,2.75,2.2,4.6,0,0,BESS-CLES,0.0
899,3.16666666666667,4.0,3.7,HighSub,3.375,2.6,3.8,0,0,BIEF,10.0
900,3.18333333333333,1.0,3.9,NoSub,3.375,2.7,4.5,0,0,CLEAM,0.0
902,3.56666666666667,2.0,3.4,NoSub,3.8125,2.2,3.7,0,1,BIEM,0.0
903,3.35,4.0,4.0,HighSub,3.0625,4.0,3.9,1,3,BESS-CLES,5.0
904,3.06666666666667,1.0,4.2,HighSub,3.3125,1.7,4.2,0,0,CLEF,0.0
906,3.56666666666667,5.0,4.0,NoSub,3.25,2.5,3.8,0,3,BIEM,0.0
908,3.43333333333333,4.0,4.2,HighSub,3.625,1.9,4.5,0,0,BESS-CLES,4.0
909,3.45,2.0,3.2,NoSub,3.5625,3.3,4.0,0,2,CLMG,4.0
910,3.5,4.0,4.8,MidSub,2.8125,3.1,4.0,0,0,CLEACC,4.0
911,3.95,4.0,3.6,NoSub,2.9375,3.0,3.8,0,0,CLEAM,0.0
912,3.9,2.0,2.3,MidSub,4.0,2.6,3.5,0,0,ACME,0.0
913,3.75,1.0,4.0,HighSub,2.875,2.9,4.3,1,3,BESS-CLES,1.0
914,3.8,5.0,3.2,NoSub,3.4375,3.0,2.9,1,1,BIEM,4.0
915,3.8,1.0,4.4,HighSub,3.8125,2.2,4.9,0,0,BESS-CLES,35.0
918,3.71666666666667,1.0,3.3,MidSub,4.3125,3.3,3.9,0,2,BEMACS,0.0
919,3.23333333333333,1.0,4.3,MidSub,3.375,3.5,4.0,0,0,MM,5.0
920,3.63333333333333,4.0,3.4,NoSub,3.8125,1.6,4.5,0,4,CLEF,5.0
921,3.55,3.0,3.3,HighSub,4.125,2.7,3.7,0,1,M,4.0
922,3.95,5.0,4.5,NoSub,3.3125,2.1,4.4,0,0,BIEM,0.0
924,3.23333333333333,1.0,3.7,NoSub,2.8125,2.4,4.1,0,2,BESS-CLES,2.0
925,3.68333333333333,2.0,3.0,HighSub,3.4375,2.3,3.9,0,1,BIEM,0.0
926,3.48333333333333,4.0,1.9,HighSub,3.75,2.6,3.4,0,0,BIEF,0.0
927,3.85,4.0,4.5,MidSub,3.25,1.9,4.7,1,2,PPA,0.0
928,3.65,4.0,3.9,NoSub,4.1875,1.6,3.2,0,1,BIEM,0.0
929,3.3,4.0,4.1,HighSub,2.75,2.3,3.5,0,1,CLEAM,12.0
930,3.46666666666667,1.0,3.8,NoSub,3.9375,3.4,4.6,0,2,CLEACC,0.0
932,4.05,5.0,3.6,MidSub,4.25,2.5,3.5,0,0,CLEAM,0.0
933,3.93333333333333,3.0,3.2,NoSub,3.0,2.3,3.7,0,0,CLEAM,0.0
934,3.21666666666667,1.0,2.8,NoSub,3.4375,2.9,4.2,0,1,CLEACC,2.0
935,3.01666666666667,3.0,4.0,MidSub,3.1875,4.0,4.4,0,0,BESS-CLES,1.0
936,3.65,2.0,3.8,NoSub,2.6875,2.3,4.2,1,4,M,1.0
938,3.43333333333333,1.0,3.9,HighSub,3.0625,2.0,4.8,0,2,CLEAM,15.0
939,3.31666666666667,4.0,3.6,MidSub,3.5,3.7,3.9,1,4,CLEAM,12.0
942,3.13333333333333,1.0,3.5,HighSub,3.0,1.9,4.0,0,0,CLEF,0.0
944,2.86666666666667,5.0,3.7,NoSub,3.5,2.2,3.9,0,3,BIEF,0.0
946,3.18333333333333,2.0,3.8,NoSub,3.25,2.4,4.5,0,0,BEMACS,0.0
947,3.35,1.0,3.4,NoSub,3.3125,2.4,4.2,0,2,BIEF,0.0
948,3.68333333333333,4.0,3.0,MidSub,3.8125,2.4,3.9,1,1,CLEAM,0.0
949,3.78333333333333,3.0,4.4,MidSub,3.625,3.5,5.0,0,1,CLEAM,0.0
950,3.63333333333333,4.0,4.2,NoSub,3.6875,2.2,3.5,0,2,BESS-CLES,0.0
