lval,rval,Est.Std,SE
Prosocial_DV,PROSOCIAL,0.1901873149738548,1.4973691987831976
Prosocial_DV,TotalAllowance_std,0.21323264577884513,0.631792705132824
Prosocial_DV,Age_std,0.004645396786444406,0.9868023923395773
Prosocial_DV,Foreign_binary,0.013815242948954073,1.3652678111178747
Prosocial_DV,Group_MidSub,0.06967238706861377,1.5352571700926938
Prosocial_DV,Group_NoSub,-0.07382984093446997,1.526205872798735
Prosocial_DV,Education_2,0.11304089587159559,6.792041669278649
Prosocial_DV,StudyProgram_Incoming,-0.011671287492653006,11.702943596778171
Prosocial_DV,StudyProgram_Law_5_year_Program,-0.004721524234374726,5.529608738436312
Prosocial_DV,StudyProgram_UG_3_year_Program,0.01732889246191078,7.007508342254713
Prosocial_DV,TopPlatform_1,0.036170255598072035,1.329260477548308
