Prosocial_DV,SVO_type_std,Prosocial_Motivation_std,Dictator_1_std,TotalAllowance_std,Age_std,Foreign_binary,Group_MidSub,Group_NoSub,Education_2,StudyProgram_Incoming,StudyProgram_Law_5_year_Program,StudyProgram_UG_3_year_Program,TopPlatform_1,F_score
0.0,-0.8527277867105209,-4.976925855107784,-0.982325202343734,-0.2190754171130982,-1.5865225737624742,1,0,0,0,0,0,1,1,-0.3770725500521272
0.0,-0.8527277867105209,-1.5229079114998585,-0.4858431506176591,-0.2190754171130982,0.7033038213586219,0,0,0,1,0,0,0,1,0.6459939784714969
6.0,-0.8527277867105209,0.3611018759226463,-0.4858431506176591,1.6557247140553453,-1.0140659749822,0,0,1,0,0,0,1,1,
0.0,-0.8527277867105209,-0.8949046490256902,-1.478807254069809,-1.0978879785983062,0.7033038213586219,0,0,1,1,0,0,0,1,0.28414841328436446
0.0,1.1043523795103476,0.0471002446855621,0.5071209528344908,0.6011496402730958,-0.4416093762019261,1,0,1,0,0,0,1,1,
0.0,-0.8527277867105209,-1.8369095427369424,1.0036030045605655,1.6557247140553453,-0.4416093762019261,1,0,1,0,1,0,0,0,
4.0,1.1043523795103476,1.3031067696338987,1.0036030045605655,0.6011496402730958,-1.0140659749822,0,0,1,0,0,0,1,0,
15.0,-0.8527277867105209,0.6751035071597304,1.0036030045605655,-0.2190754171130982,-1.0140659749822,1,0,0,0,0,0,1,1,-0.3912572401213925
1.0,1.1043523795103476,-0.2669013865515219,0.0106389011084158,-0.2190754171130982,0.7033038213586219,0,1,0,0,0,1,0,1,0.48623869198012637
0.0,-0.8527277867105209,-1.8369095427369424,0.0106389011084158,-0.8049504581032368,0.1308472225783478,1,1,0,0,0,0,1,1,0.07271752786011329
0.0,1.1043523795103476,-0.8949046490256902,0.5071209528344908,0.6011496402730958,0.7033038213586219,0,0,1,1,0,0,0,1,0.02575692612636086
0.0,1.1043523795103476,-0.8949046490256902,1.0036030045605655,1.6557247140553453,-1.5865225737624742,0,0,0,0,0,0,1,1,-0.007440279545112436
2.0,1.1043523795103476,-0.2669013865515219,-0.982325202343734,1.6557247140553453,0.7033038213586219,0,0,1,1,0,0,0,1,-0.7424669122978272
0.0,1.1043523795103476,0.3611018759226463,0.0106389011084158,1.6557247140553453,0.7033038213586219,0,0,1,1,0,0,0,1,-0.033321345449850985
0.0,-0.8527277867105209,0.6751035071597304,0.5071209528344908,-0.8049504581032368,-1.5865225737624742,1,0,1,0,0,0,1,1,0.3821700589982541
5.0,-0.8527277867105209,-1.2089062802627744,-0.982325202343734,0.6011496402730958,-0.4416093762019261,0,0,0,0,0,0,1,1,0.22682230824024707
